	Sort	Isolate Sort	Virus GENBANK accession	Species	Genome coverage	Genus
1156	1157.0	2	KJ010548	Agatevirus Bp8pC	Complete genome	Agatevirus
1163	1164.0	2	JN797796	Bequatrovirus B4	Complete genome	Bequatrovirus
1186	1187.0	2	JN797798	Tsarbombavirus BCP78	Complete genome	Tsarbombavirus
1192	1193.0	2	KT207918	Wphvirus megatron	Complete genome	Wphvirus
1196	1197.0	2	AB609718	Kochikohdavirus EF24C	Complete genome	Kochikohdavirus
1205	1206.0	2	KJ591605	Pecentumvirus LMSP25	Complete genome	Pecentumvirus
1206	1207.0	3	KJ586795	Pecentumvirus LMSP25	Complete genome	Pecentumvirus
1211	1212.0	2	KJ094031	Pecentumvirus LP064	Complete genome	Pecentumvirus
1213	1214.0	2	JX126918	Pecentumvirus LP0832	Complete genome	Pecentumvirus
1224	1225.0	2	JX080302	Kayvirus G1	Complete genome	Kayvirus
1225	1226.0	3	JX080301	Kayvirus G1	Complete genome	Kayvirus
1226	1227.0	4	EU418428	Kayvirus G1	Complete genome	Kayvirus
1227	1228.0	5	JX080303	Kayvirus G1	Complete genome	Kayvirus
1228	1229.0	6	KP687431	Kayvirus G1	Complete genome	Kayvirus
1229	1230.0	7	KR902361	Kayvirus G1	Complete genome	Kayvirus
1230	1231.0	8	KR908644	Kayvirus G1	Complete genome	Kayvirus
1231	1232.0	9	KP687432	Kayvirus G1	Complete genome	Kayvirus
1232	1233.0	10	FR852584	Kayvirus G1	Complete genome	Kayvirus
1233	1234.0	11	JX080304	Kayvirus G1	Complete genome	Kayvirus
1234	1235.0	12	JX080305	Kayvirus G1	Complete genome	Kayvirus
1235	1236.0	13	JX875065	Kayvirus G1	Complete genome	Kayvirus
1236	1237.0	14	JX080300	Kayvirus G1	Complete genome	Kayvirus
1237	1238.0	15	KC012913	Kayvirus G1	Complete genome	Kayvirus
1252	1253.0	2	JX846613	Silviavirus remus	Complete genome	Silviavirus
4273	4274.0	2	AB910602	Coriovirus Cf1c	Complete genome	Coriovirus
4275	4276.0	2	AB572858	Fibrovirus fs1	Complete genome	Fibrovirus
4276	4277.0	3	AF453500	Fibrovirus fs1	Complete genome	Fibrovirus
4277	4278.0	4	AF452449	Fibrovirus fs1	Complete genome	Fibrovirus
4278	4279.0	5	FJ904927	Fibrovirus fs1	Complete genome	Fibrovirus
4282	4283.0	2	MF716957	Habenivirus RS551	Complete genome	Habenivirus
4286	4287.0	2	AB981170	Habenivirus RSM3	Complete genome	Habenivirus
4289	4290.0	2	J02451	Inovirus M13	Complete genome	Inovirus
4290	4291.0	3	JX412914	Inovirus M13	Complete genome	Inovirus
4291	4292.0	4	JF719734	Inovirus M13	Complete genome	Inovirus
4292	4293.0	5	JF719733	Inovirus M13	Complete genome	Inovirus
4293	4294.0	6	JF719732	Inovirus M13	Complete genome	Inovirus
4294	4295.0	7	GQ153919	Inovirus M13	Complete genome	Inovirus
4295	4296.0	8	GQ153918	Inovirus M13	Complete genome	Inovirus
4296	4297.0	9	GQ153917	Inovirus M13	Complete genome	Inovirus
4297	4298.0	10	GQ153916	Inovirus M13	Complete genome	Inovirus
4298	4299.0	11	AB334721	Inovirus M13	Complete genome	Inovirus
4299	4300.0	12	AB334720	Inovirus M13	Complete genome	Inovirus
4300	4301.0	13	J02448	Inovirus M13	Complete genome	Inovirus
4315	4316.0	2	JQ408219	Restivirus RSS1	Complete genome	Restivirus
4316	4317.0	3	LC066596	Restivirus RSS1	Complete genome	Restivirus
4317	4318.0	4	AB931172	Restivirus RSS1	Complete genome	Restivirus
4325	4326.0	2	M19377	Tertilicivirus Pf3	Complete genome	Tertilicivirus
4329	4330.0	2	AB043679	Versovirus VfO3K6	Complete genome	Versovirus
