	Species	Accession_IDs	segment	Genus	Sort	Isolate Sort	Original_Accession_String	Errors
0	Agatevirus Bp8pC	KJ010548		Agatevirus	1157.0	2.0	KJ010548	
1	Bequatrovirus B4	JN797796		Bequatrovirus	1164.0	2.0	JN797796	
2	Tsarbombavirus BCP78	JN797798		Tsarbombavirus	1187.0	2.0	JN797798	
3	Wphvirus megatron	KT207918		Wphvirus	1193.0	2.0	KT207918	
4	Kochikohdavirus EF24C	AB609718		Kochikohdavirus	1197.0	2.0	AB609718	
5	Pecentumvirus LMSP25	KJ591605		Pecentumvirus	1206.0	2.0	KJ591605	
6	Pecentumvirus LMSP25	KJ586795		Pecentumvirus	1207.0	3.0	KJ586795	
7	Pecentumvirus LP064	KJ094031		Pecentumvirus	1212.0	2.0	KJ094031	
8	Pecentumvirus LP0832	JX126918		Pecentumvirus	1214.0	2.0	JX126918	
9	Kayvirus G1	JX080302		Kayvirus	1225.0	2.0	JX080302	
10	Kayvirus G1	JX080301		Kayvirus	1226.0	3.0	JX080301	
11	Kayvirus G1	EU418428		Kayvirus	1227.0	4.0	EU418428	
12	Kayvirus G1	JX080303		Kayvirus	1228.0	5.0	JX080303	
13	Kayvirus G1	KP687431		Kayvirus	1229.0	6.0	KP687431	
14	Kayvirus G1	KR902361		Kayvirus	1230.0	7.0	KR902361	
15	Kayvirus G1	KR908644		Kayvirus	1231.0	8.0	KR908644	
16	Kayvirus G1	KP687432		Kayvirus	1232.0	9.0	KP687432	
17	Kayvirus G1	FR852584		Kayvirus	1233.0	10.0	FR852584	
18	Kayvirus G1	JX080304		Kayvirus	1234.0	11.0	JX080304	
19	Kayvirus G1	JX080305		Kayvirus	1235.0	12.0	JX080305	
20	Kayvirus G1	JX875065		Kayvirus	1236.0	13.0	JX875065	
21	Kayvirus G1	JX080300		Kayvirus	1237.0	14.0	JX080300	
22	Kayvirus G1	KC012913		Kayvirus	1238.0	15.0	KC012913	
23	Silviavirus remus	JX846613		Silviavirus	1253.0	2.0	JX846613	
24	Coriovirus Cf1c	AB910602		Coriovirus	4274.0	2.0	AB910602	
25	Fibrovirus fs1	AB572858		Fibrovirus	4276.0	2.0	AB572858	
26	Fibrovirus fs1	AF453500		Fibrovirus	4277.0	3.0	AF453500	
27	Fibrovirus fs1	AF452449		Fibrovirus	4278.0	4.0	AF452449	
28	Fibrovirus fs1	FJ904927		Fibrovirus	4279.0	5.0	FJ904927	
29	Habenivirus RS551	MF716957		Habenivirus	4283.0	2.0	MF716957	
30	Habenivirus RSM3	AB981170		Habenivirus	4287.0	2.0	AB981170	
31	Inovirus M13	J02451		Inovirus	4290.0	2.0	J02451	
32	Inovirus M13	JX412914		Inovirus	4291.0	3.0	JX412914	
33	Inovirus M13	JF719734		Inovirus	4292.0	4.0	JF719734	
34	Inovirus M13	JF719733		Inovirus	4293.0	5.0	JF719733	
35	Inovirus M13	JF719732		Inovirus	4294.0	6.0	JF719732	
36	Inovirus M13	GQ153919		Inovirus	4295.0	7.0	GQ153919	
37	Inovirus M13	GQ153918		Inovirus	4296.0	8.0	GQ153918	
38	Inovirus M13	GQ153917		Inovirus	4297.0	9.0	GQ153917	
39	Inovirus M13	GQ153916		Inovirus	4298.0	10.0	GQ153916	
40	Inovirus M13	AB334721		Inovirus	4299.0	11.0	AB334721	
41	Inovirus M13	AB334720		Inovirus	4300.0	12.0	AB334720	
42	Inovirus M13	J02448		Inovirus	4301.0	13.0	J02448	
43	Restivirus RSS1	JQ408219		Restivirus	4316.0	2.0	JQ408219	
44	Restivirus RSS1	LC066596		Restivirus	4317.0	3.0	LC066596	
45	Restivirus RSS1	AB931172		Restivirus	4318.0	4.0	AB931172	
46	Tertilicivirus Pf3	M19377		Tertilicivirus	4326.0	2.0	M19377	
47	Versovirus VfO3K6	AB043679		Versovirus	4330.0	2.0	AB043679	
48	Villovirus Vf33	AB012574		Villovirus	4334.0	2.0	AB012574	
49	Xylivirus Xf109	KY853667		Xylivirus	4337.0	2.0	KY853667	
50	Alphapapillomavirus 1	M73236		Alphapapillomavirus	4488.0	2.0	M73236	
51	Alphapapillomavirus 10	AF436130		Alphapapillomavirus	4490.0	2.0	AF436130	
52	Alphapapillomavirus 10	M14119		Alphapapillomavirus	4491.0	3.0	M14119	
53	Alphapapillomavirus 10	U31788		Alphapapillomavirus	4492.0	4.0	U31788	
54	Alphapapillomavirus 10	X62843		Alphapapillomavirus	4493.0	5.0	X62843	
55	Alphapapillomavirus 10	X62844		Alphapapillomavirus	4494.0	6.0	X62844	
56	Alphapapillomavirus 11	X94165		Alphapapillomavirus	4496.0	2.0	X94165	
57	Alphapapillomavirus 12	EF558838		Alphapapillomavirus	4498.0	2.0	EF558838	
58	Alphapapillomavirus 12	EF558839		Alphapapillomavirus	4499.0	3.0	EF558839	
59	Alphapapillomavirus 12	EF558840		Alphapapillomavirus	4500.0	4.0	EF558840	
60	Alphapapillomavirus 12	EF558841		Alphapapillomavirus	4501.0	5.0	EF558841	
61	Alphapapillomavirus 12	EF558842		Alphapapillomavirus	4502.0	6.0	EF558842	
62	Alphapapillomavirus 12	EF558843		Alphapapillomavirus	4503.0	7.0	EF558843	
63	Alphapapillomavirus 12	EU490515		Alphapapillomavirus	4504.0	8.0	EU490515	
64	Alphapapillomavirus 12	EU490516		Alphapapillomavirus	4505.0	9.0	EU490516	
65	Alphapapillomavirus 12	GQ227670		Alphapapillomavirus	4506.0	10.0	GQ227670	
66	Alphapapillomavirus 12	JF304764		Alphapapillomavirus	4507.0	11.0	JF304764	
67	Alphapapillomavirus 12	KT944080		Alphapapillomavirus	4508.0	12.0	KT944080	
68	Alphapapillomavirus 14	AY057438		Alphapapillomavirus	4511.0	2.0	AY057438	
69	Alphapapillomavirus 14	DQ080082		Alphapapillomavirus	4512.0	3.0	DQ080082	
70	Alphapapillomavirus 14	GU014532		Alphapapillomavirus	4513.0	4.0	GU014532	
71	Alphapapillomavirus 2	AB745694		Alphapapillomavirus	4515.0	2.0	AB745694	
72	Alphapapillomavirus 2	AJ620211		Alphapapillomavirus	4516.0	3.0	AJ620211	
73	Alphapapillomavirus 2	FN547152		Alphapapillomavirus	4517.0	4.0	FN547152	
74	Alphapapillomavirus 2	GQ246950		Alphapapillomavirus	4518.0	5.0	GQ246950	
75	Alphapapillomavirus 2	KC138720		Alphapapillomavirus	4519.0	6.0	KC138720	
76	Alphapapillomavirus 2	U31783		Alphapapillomavirus	4520.0	7.0	U31783	
77	Alphapapillomavirus 2	U31784		Alphapapillomavirus	4521.0	8.0	U31784	
78	Alphapapillomavirus 2	X74462		Alphapapillomavirus	4522.0	9.0	X74462	
79	Alphapapillomavirus 2	Y15175		Alphapapillomavirus	4523.0	10.0	Y15175	
80	Alphapapillomavirus 3	AF151983		Alphapapillomavirus	4525.0	2.0	AF151983	
81	Alphapapillomavirus 3	AF293960		Alphapapillomavirus	4526.0	3.0	AF293960	
82	Alphapapillomavirus 3	AF349909		Alphapapillomavirus	4527.0	4.0	AF349909	
83	Alphapapillomavirus 3	AF436128		Alphapapillomavirus	4528.0	5.0	AF436128	
84	Alphapapillomavirus 3	AJ400628		Alphapapillomavirus	4529.0	6.0	AJ400628	
85	Alphapapillomavirus 3	AJ620209		Alphapapillomavirus	4530.0	7.0	AJ620209	
86	Alphapapillomavirus 3	AY395706		Alphapapillomavirus	4531.0	8.0	AY395706	
87	Alphapapillomavirus 3	DQ080083		Alphapapillomavirus	4532.0	9.0	DQ080083	
88	Alphapapillomavirus 3	GQ244463		Alphapapillomavirus	4533.0	10.0	GQ244463	
89	Alphapapillomavirus 3	X94164		Alphapapillomavirus	4534.0	11.0	X94164	
90	Alphapapillomavirus 4	X55965		Alphapapillomavirus	4536.0	2.0	X55965	
91	Alphapapillomavirus 4	X74473		Alphapapillomavirus	4537.0	3.0	X74473	
92	Alphapapillomavirus 5	AB027020		Alphapapillomavirus	4539.0	2.0	AB027020	
93	Alphapapillomavirus 5	AB027021		Alphapapillomavirus	4540.0	3.0	AB027021	
94	Alphapapillomavirus 5	M62877		Alphapapillomavirus	4541.0	4.0	M62877	
95	Alphapapillomavirus 6	U31794		Alphapapillomavirus	4543.0	2.0	U31794	
96	Alphapapillomavirus 6	X74482		Alphapapillomavirus	4544.0	3.0	X74482	
97	Alphapapillomavirus 6	X74483		Alphapapillomavirus	4545.0	4.0	X74483	
98	Alphapapillomavirus 7	AF131950		Alphapapillomavirus	4547.0	2.0	AF131950	
99	Alphapapillomavirus 7	DQ080079		Alphapapillomavirus	4548.0	3.0	DQ080079	
100	Alphapapillomavirus 7	DQ080080		Alphapapillomavirus	4549.0	4.0	DQ080080	
101	Alphapapillomavirus 7	M62849		Alphapapillomavirus	4550.0	5.0	M62849	
102	Alphapapillomavirus 7	U21941		Alphapapillomavirus	4551.0	6.0	U21941	
103	Alphapapillomavirus 7	X74479		Alphapapillomavirus	4552.0	7.0	X74479	
104	Alphapapillomavirus 7	X77858		Alphapapillomavirus	4553.0	8.0	X77858	
105	Alphapapillomavirus 8	AF419318		Alphapapillomavirus	4555.0	2.0	AF419318	
106	Alphapapillomavirus 8	AJ620205		Alphapapillomavirus	4556.0	3.0	AJ620205	
107	Alphapapillomavirus 8	X74478		Alphapapillomavirus	4557.0	4.0	X74478	
108	Alphapapillomavirus 9	D21208		Alphapapillomavirus	4559.0	2.0	D21208	
109	Alphapapillomavirus 9	D90400		Alphapapillomavirus	4560.0	3.0	D90400	
110	Alphapapillomavirus 9	J04353		Alphapapillomavirus	4561.0	4.0	J04353	
111	Alphapapillomavirus 9	M12732		Alphapapillomavirus	4562.0	5.0	M12732	
112	Alphapapillomavirus 9	X74477		Alphapapillomavirus	4563.0	6.0	X74477	
113	Alphapapillomavirus 9	X74481		Alphapapillomavirus	4564.0	7.0	X74481	
114	Betapapillomavirus 1	AY382778		Betapapillomavirus	4566.0	2.0	AY382778	
115	Betapapillomavirus 1	EF028290		Betapapillomavirus	4567.0	3.0	EF028290	
116	Betapapillomavirus 1	FM955837		Betapapillomavirus	4568.0	4.0	FM955837	
117	Betapapillomavirus 1	FM955838		Betapapillomavirus	4569.0	5.0	FM955838	
118	Betapapillomavirus 1	FM955841		Betapapillomavirus	4570.0	6.0	FM955841	
119	Betapapillomavirus 1	GQ246951		Betapapillomavirus	4571.0	7.0	GQ246951	
120	Betapapillomavirus 1	GQ845446		Betapapillomavirus	4572.0	8.0	GQ845446	
121	Betapapillomavirus 1	GU014533		Betapapillomavirus	4573.0	9.0	GU014533	
122	Betapapillomavirus 1	HM999995		Betapapillomavirus	4574.0	10.0	HM999995	
123	Betapapillomavirus 1	JF304768		Betapapillomavirus	4575.0	11.0	JF304768	
124	Betapapillomavirus 1	M12737		Betapapillomavirus	4576.0	12.0	M12737	
125	Betapapillomavirus 1	M32305		Betapapillomavirus	4577.0	13.0	M32305	
126	Betapapillomavirus 1	U31778		Betapapillomavirus	4578.0	14.0	U31778	
127	Betapapillomavirus 1	U31779		Betapapillomavirus	4579.0	15.0	U31779	
128	Betapapillomavirus 1	U31782		Betapapillomavirus	4580.0	16.0	U31782	
129	Betapapillomavirus 1	U31785		Betapapillomavirus	4581.0	17.0	U31785	
130	Betapapillomavirus 1	X74466		Betapapillomavirus	4582.0	18.0	X74466	
131	Betapapillomavirus 1	X74467		Betapapillomavirus	4583.0	19.0	X74467	
132	Betapapillomavirus 1	X74470		Betapapillomavirus	4584.0	20.0	X74470	
133	Betapapillomavirus 1	X74471		Betapapillomavirus	4585.0	21.0	X74471	
134	Betapapillomavirus 2	EF422221		Betapapillomavirus	4587.0	2.0	EF422221	
135	Betapapillomavirus 2	EU410348		Betapapillomavirus	4588.0	3.0	EU410348	
136	Betapapillomavirus 2	EU410349		Betapapillomavirus	4589.0	4.0	EU410349	
137	Betapapillomavirus 2	FM955839		Betapapillomavirus	4590.0	5.0	FM955839	
138	Betapapillomavirus 2	FM955840		Betapapillomavirus	4591.0	6.0	FM955840	
139	Betapapillomavirus 2	FM955842		Betapapillomavirus	4592.0	7.0	FM955842	
140	Betapapillomavirus 2	FN677756		Betapapillomavirus	4593.0	8.0	FN677756	
141	Betapapillomavirus 2	GQ845442		Betapapillomavirus	4594.0	9.0	GQ845442	
142	Betapapillomavirus 2	GQ845444		Betapapillomavirus	4595.0	10.0	GQ845444	
143	Betapapillomavirus 2	HE963025		Betapapillomavirus	4596.0	11.0	HE963025	
144	Betapapillomavirus 2	HF930491		Betapapillomavirus	4597.0	12.0	HF930491	
145	Betapapillomavirus 2	HM999997		Betapapillomavirus	4598.0	13.0	HM999997	
146	Betapapillomavirus 2	U31780		Betapapillomavirus	4599.0	14.0	U31780	
147	Betapapillomavirus 2	U31781		Betapapillomavirus	4600.0	15.0	U31781	
148	Betapapillomavirus 2	U31786		Betapapillomavirus	4601.0	16.0	U31786	
149	Betapapillomavirus 2	U31787		Betapapillomavirus	4602.0	17.0	U31787	
150	Betapapillomavirus 2	X74468		Betapapillomavirus	4603.0	18.0	X74468	
151	Betapapillomavirus 2	X74469		Betapapillomavirus	4604.0	19.0	X74469	
152	Betapapillomavirus 2	Y15176		Betapapillomavirus	4605.0	20.0	Y15176	
153	Betapapillomavirus 3	FJ947080		Betapapillomavirus	4607.0	2.0	FJ947080	
154	Betapapillomavirus 3	Y15173		Betapapillomavirus	4608.0	3.0	Y15173	
155	Betapapillomavirus 3	Y15174		Betapapillomavirus	4609.0	4.0	Y15174	
156	Betapapillomavirus 5	FN677755		Betapapillomavirus	4612.0	2.0	FN677755	
157	Chipapillomavirus 1	FJ492743		Chipapillomavirus	4615.0	2.0	FJ492743	
158	Chipapillomavirus 1	JF800656		Chipapillomavirus	4616.0	3.0	JF800656	
159	Chipapillomavirus 1	JF800658		Chipapillomavirus	4617.0	4.0	JF800658	
160	Chipapillomavirus 1	JQ754321		Chipapillomavirus	4618.0	5.0	JQ754321	
161	Chipapillomavirus 1	KT326919		Chipapillomavirus	4619.0	6.0	KT326919	
162	Chipapillomavirus 1	KT901797		Chipapillomavirus	4620.0	7.0	KT901797	
163	Chipapillomavirus 2	KP099966		Chipapillomavirus	4622.0	2.0	KP099966	
164	Chipapillomavirus 3	JF800657		Chipapillomavirus	4624.0	2.0	JF800657	
165	Chipapillomavirus 3	JQ701802		Chipapillomavirus	4625.0	3.0	JQ701802	
166	Chipapillomavirus 3	JX899359		Chipapillomavirus	4626.0	4.0	JX899359	
167	Deltapapillomavirus 1	AF443292		Deltapapillomavirus	4628.0	2.0	AF443292	
168	Deltapapillomavirus 3	U83595		Deltapapillomavirus	4631.0	2.0	U83595	
169	Deltapapillomavirus 4	JQ798171		Deltapapillomavirus	4633.0	2.0	JQ798171	
170	Deltapapillomavirus 4	JX174437		Deltapapillomavirus	4634.0	3.0	JX174437	
171	Deltapapillomavirus 4	KP276343		Deltapapillomavirus	4635.0	4.0	KP276343	
172	Deltapapillomavirus 4	M20219		Deltapapillomavirus	4636.0	5.0	M20219	
173	Deltapapillomavirus 5	KT626573		Deltapapillomavirus	4638.0	2.0	KT626573	
174	Deltapapillomavirus 6	HQ912791		Deltapapillomavirus	4640.0	2.0	HQ912791	
175	Dyoiotapapillomavirus 2	JQ031033		Dyoiotapapillomavirus	4649.0	2.0	JQ031033	
176	Dyoomikronpapillomavirus 1	JF304766		Dyoomikronpapillomavirus	4660.0	2.0	JF304766	
177	Dyoomikronpapillomavirus 1	JF304767		Dyoomikronpapillomavirus	4661.0	3.0	JF304767	
178	Dyoomikronpapillomavirus 1	KP861980		Dyoomikronpapillomavirus	4662.0	4.0	KP861980	
179	Dyopsipapillomavirus 1	KC858265		Dyopsipapillomavirus	4666.0	2.0	KC858265	
180	Dyorhopapillomavirus 1	JX035935		Dyorhopapillomavirus	4668.0	2.0	JX035935	
181	Dyorhopapillomavirus 1	JQ965698		Dyorhopapillomavirus	4667.0	3.0	JQ965698	
182	Dyoxipapillomavirus 2	KU519396		Dyoxipapillomavirus	4675.0	2.0	KU519396	
183	Dyozetapapillomavirus 1	EU493091		Dyozetapapillomavirus	4677.0	2.0	EU493091	
184	Epsilonpapillomavirus 1	DQ098913		Epsilonpapillomavirus	4679.0	2.0	DQ098913	
185	Gammapapillomavirus 1	AJ620210		Gammapapillomavirus	4683.0	2.0	AJ620210	
186	Gammapapillomavirus 1	KF006400		Gammapapillomavirus	4684.0	3.0	KF006400	
187	Gammapapillomavirus 1	KT698167		Gammapapillomavirus	4685.0	4.0	KT698167	
188	Gammapapillomavirus 1	X70829		Gammapapillomavirus	4686.0	5.0	X70829	
189	Gammapapillomavirus 10	GU117630		Gammapapillomavirus	4688.0	2.0	GU117630	
190	Gammapapillomavirus 10	GU117633		Gammapapillomavirus	4689.0	3.0	GU117633	
191	Gammapapillomavirus 10	HM999994		Gammapapillomavirus	4690.0	4.0	HM999994	
192	Gammapapillomavirus 10	KC108722		Gammapapillomavirus	4691.0	5.0	KC108722	
193	Gammapapillomavirus 11	HM999988		Gammapapillomavirus	4693.0	2.0	HM999988	
194	Gammapapillomavirus 11	HM999992		Gammapapillomavirus	4694.0	3.0	HM999992	
195	Gammapapillomavirus 11	HM999993		Gammapapillomavirus	4695.0	4.0	HM999993	
196	Gammapapillomavirus 11	JN211193		Gammapapillomavirus	4696.0	5.0	JN211193	
197	Gammapapillomavirus 11	JX413105		Gammapapillomavirus	4697.0	6.0	JX413105	
198	Gammapapillomavirus 11	KF006398		Gammapapillomavirus	4698.0	7.0	KF006398	
199	Gammapapillomavirus 11	KP692116		Gammapapillomavirus	4699.0	8.0	KP692116	
200	Gammapapillomavirus 12	KT698166		Gammapapillomavirus	4701.0	2.0	KT698166	
201	Gammapapillomavirus 12	GU117632		Gammapapillomavirus	4702.0	3.0	GU117632	
202	Gammapapillomavirus 12	GU129016		Gammapapillomavirus	4703.0	4.0	GU129016	
203	Gammapapillomavirus 12	JX444072		Gammapapillomavirus	4704.0	5.0	JX444072	
204	Gammapapillomavirus 12	KJ913662		Gammapapillomavirus	4705.0	6.0	KJ913662	
205	Gammapapillomavirus 12	KT698168		Gammapapillomavirus	4706.0	7.0	KT698168	
206	Gammapapillomavirus 13	JN171845		Gammapapillomavirus	4708.0	2.0	JN171845	
207	Gammapapillomavirus 15	HG421739		Gammapapillomavirus	4711.0	2.0	HG421739	
208	Gammapapillomavirus 15	HM999998		Gammapapillomavirus	4712.0	3.0	HM999998	
209	Gammapapillomavirus 19	JX413104		Gammapapillomavirus	4717.0	2.0	JX413104	
210	Gammapapillomavirus 19	JX413108		Gammapapillomavirus	4718.0	3.0	JX413108	
211	Gammapapillomavirus 2	KP692114		Gammapapillomavirus	4720.0	2.0	KP692114	
212	Gammapapillomavirus 24	KM085343		Gammapapillomavirus	4726.0	2.0	KM085343	
213	Gammapapillomavirus 6	DQ080078		Gammapapillomavirus	4734.0	2.0	DQ080078	
214	Gammapapillomavirus 6	FM212639		Gammapapillomavirus	4735.0	3.0	FM212639	
215	Gammapapillomavirus 7	GQ845445		Gammapapillomavirus	4737.0	2.0	GQ845445	
