	Species	Accession_IDs	segment	Genus	Sort	Isolate Sort	Original_Accession_String	Errors
0	Alphalipothrixvirus SBFV2	MK064563		Alphalipothrixvirus	1.0	1	MK064563	
1	Alphalipothrixvirus SFV1	MH447526		Alphalipothrixvirus	2.0	1	MH447526	
2	Acidianus filamentous virus 3	AM087120		Betalipothrixvirus	3.0	1	AM087120	
3	Acidianus filamentous virus 6	AM087121		Betalipothrixvirus	4.0	1	AM087121	
4	Acidianus filamentous virus 7	AM087122		Betalipothrixvirus	5.0	1	AM087122	
5	Acidianus filamentous virus 8	AM087123		Betalipothrixvirus	6.0	1	AM087123	
6	Acidianus filamentous virus 9	EU545650		Betalipothrixvirus	7.0	1	EU545650	
7	Sulfolobus islandicus filamentous virus	AF440571		Betalipothrixvirus	8.0	1	AF440571	
8	Acidianus filamentous virus 2	AJ854042		Deltalipothrixvirus	9.0	1	AJ854042	
9	Deltalipothrixvirus SBFV3	MK064564		Deltalipothrixvirus	10.0	1	MK064564	
10	Azorudivirus SRV	FM164764		Azorudivirus	11.0	1	FM164764	
11	Hoswirudivirus ARV2	KP282675		Hoswirudivirus	12.0	1	KP282675	
12	Hoswirudivirus ARV3	MN876842		Hoswirudivirus	13.0	1	MN876842	
13	Hoswirudivirus MRV1	MN876843		Hoswirudivirus	14.0	1	MN876843	
14	Hoswirudivirus SSRV1	MN876841		Hoswirudivirus	15.0	1	MN876841	
15	Icerudivirus SIRV1	AJ414696		Icerudivirus	16.0	1	AJ414696	
16	Icerudivirus SIRV2	AJ344259		Icerudivirus	17.0	1	AJ344259	
17	Icerudivirus SIRV3	KX712143		Icerudivirus	18.0	1	KX712143	
18	Itarudivirus ARV1	AJ875026		Itarudivirus	19.0	1	AJ875026	
19	Japarudivirus SBRV1	MK064565		Japarudivirus	20.0	1	MK064565	
20	Mexirudivirus SMRV1	JX944686		Mexirudivirus	21.0	1	JX944686	
21	Usarudivirus SIRV10	KY744230		Usarudivirus	22.0	1	KY744230	
22	Usarudivirus SIRV11	KY744234		Usarudivirus	23.0	1	KY744234	
23	Usarudivirus SIRV4	KY744231		Usarudivirus	24.0	1	KY744231	
24	Usarudivirus SIRV5	KY744233		Usarudivirus	25.0	1	KY744233	
25	Usarudivirus SIRV8	KY744229		Usarudivirus	26.0	1	KY744229	
26	Usarudivirus SIRV9	KY744228		Usarudivirus	27.0	1	KY744228	
27	Captovirus AFV1	AJ567472		Captovirus	28.0	1	AJ567472	
28	Yumkaaxvirus pescaderoense	OP413840		Yumkaaxvirus	29.0	1	OP413840	
