A_acc	A_genus	A_species	A_seg	A_seq_len	STATUS	perc_qcov	E_top_hit_acc	E_top_hit_species	E_top_hit_seg	E_top_hit_perc_qcov	_min_perc_cov	_blast_mode
KJ010548	Agatevirus	Agatevirus Bp8pC		151419.0	HIT_01	0.9999933958089804	KJ010547.?	Agatevirus_Bp8pC		0.9999933958089804	0.05	blastn10
JN797796	Bequatrovirus	Bequatrovirus B4		162598.0	HIT_01	0.9999876997257039	JN790865.?	Bequatrovirus_B4		0.9999876997257039	0.05	blastn10
JN797798	Tsarbombavirus	Tsarbombavirus BCP78		154371.0	HIT_01	0.9812788671447358	JN797797.?	Tsarbombavirus_BCP78		0.9812788671447358	0.05	blastn10
KT207918	Wphvirus	Wphvirus megatron		162252.0	HIT_01	0.9824100781500382	KJ489401.?	Wphvirus_megatron		0.9824100781500382	0.05	blastn10
AB609718	Kochikohdavirus	Kochikohdavirus EF24C		142072.0	HIT_01	0.9999929613153894	AP009390.?	Kochikohdavirus_EF24C		0.9999929613153894	0.05	blastn10
KJ591605	Pecentumvirus	Pecentumvirus LMSP25		136589.0	HIT_02	0.9999926787662257	KJ586794.?	Pecentumvirus_LMTA34		0.9999926787662257	0.05	blastn10
KJ586795	Pecentumvirus	Pecentumvirus LMSP25		136468.0	HIT_02	0.9944236011372629	KJ586794.?	Pecentumvirus_LMTA34		0.9944236011372629	0.05	blastn10
KJ094031	Pecentumvirus	Pecentumvirus LP064		135764.0	HIT_02	0.9892313131610736	KJ094030.?	Pecentumvirus_LP0832		0.9999926342771279	0.05	blastn10
JX126918	Pecentumvirus	Pecentumvirus LP0832		135281.0	HIT_02	0.9915657039791249	KJ094029.?	Pecentumvirus_LP064		0.9999926079789475	0.05	blastn10
JX080302	Kayvirus	Kayvirus G1		148564.0	HIT_01	0.9826000915430387	AY954969.?	Kayvirus_G1		0.9826000915430387	0.05	blastn10
JX080301	Kayvirus	Kayvirus G1		141018.0	HIT_01	0.981669006793459	AY954969.?	Kayvirus_G1		0.981669006793459	0.05	blastn10
EU418428	Kayvirus	Kayvirus G1		145542.0	HIT_01	0.9999862582622199	AY954969.?	Kayvirus_G1		0.9999862582622199	0.05	blastn10
JX080303	Kayvirus	Kayvirus G1		148481.0	HIT_01	0.9857018743138852	AY954969.?	Kayvirus_G1		0.9857018743138852	0.05	blastn10
KP687431	Kayvirus	Kayvirus G1		140218.0	HIT_01	0.9799811721747564	AY954969.?	Kayvirus_G1		0.9799811721747564	0.05	blastn10
KR902361	Kayvirus	Kayvirus G1		139750.0	HIT_01	0.9795491949910554	AY954969.?	Kayvirus_G1		0.9795491949910554	0.05	blastn10
KR908644	Kayvirus	Kayvirus G1		141028.0	HIT_01	0.980103241909408	AY954969.?	Kayvirus_G1		0.980103241909408	0.05	blastn10
KP687432	Kayvirus	Kayvirus G1		140906.0	HIT_01	0.9800860147900018	AY954969.?	Kayvirus_G1		0.9800860147900018	0.05	blastn10
FR852584	Kayvirus	Kayvirus G1		138339.0	HIT_01	0.9993349670013517	AY954969.?	Kayvirus_G1		0.9993349670013517	0.05	blastn10
JX080304	Kayvirus	Kayvirus G1		148243.0	HIT_01	0.9810783645770795	AY954969.?	Kayvirus_G1		0.9810783645770795	0.05	blastn10
JX080305	Kayvirus	Kayvirus G1		147590.0	HIT_01	0.9856155566095264	AY954969.?	Kayvirus_G1		0.9856155566095264	0.05	blastn10
JX875065	Kayvirus	Kayvirus G1		137031.0	HIT_01	0.9993213214528099	AY954969.?	Kayvirus_G1		0.9993213214528099	0.05	blastn10
JX080300	Kayvirus	Kayvirus G1		145647.0	HIT_01	0.9993614698551978	AY954969.?	Kayvirus_G1		0.9993614698551978	0.05	blastn10
